name,color,id,price_2020_10_05,weight,package,brand,size_1,size_2,size_3,size_4,size_5,natural_grass,artifical_grass,futsal,major_material,comments
Adidas Team Replique,mix,28651900,29.99,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,0,1,0,0,TPU,0
Adidas EUROPEANQGLI,mix,28377745,23.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,Rubber,0
Adidas ACN GLIDER,mix,28377765,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,Rubber,0
Adidas CONEXT15GLIDER,mix,28377770,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,TPU,0
Adidas EURO16OLP ITA C,mix,28377810,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,Rubber,0
Adidas EURO16 CAP DFB,mix,28377815,23.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,PVC,0
Adidas EURO16 REPLIQUE,mix,28377865,28.99,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,PVC,0
Adidas FINALE15CFC CAP,mix,28440490,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,TPU,0
Get & Go 16SY,mix,13554815,5.49,0.3,0.21x0.21x0.1,Get & Go,0,0,0,0,1,1,0,0,PVC,0
MOLTEN FUTSAL F9V1900,mix,14341515,29.9,0.47,0.3x0.3x0.3,Molten,0,0,0,1,0,0,0,1,Artifical leather,0
Adidas World Cup Glide,mix,28377370,18.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,0,1,0,0,TPU,0
Puma ,mix,28377730,15.95,0.1,0.1x0.1x0.1,Puma,0,0,0,0,1,1,0,0,Rubber,0
Adidas FINALE15ACM CAP,mix,28377790,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,Rubber,0
Adidas EURO16 GLIDER,mix,28377845,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,PVC,0
Adidas EURO16 GLIDER,mix,28377860,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,PVC,0
Adidas Finale Mufc Cpt,mix,28440180,27.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,1,1,0,0,TPU,0
Puma One Triangle Ball,mix,28440245,20.95,0.1,0.1x0.1x0.1,Puma,0,0,0,1,1,1,0,0,TPU,0
Adidas EURO16OLP ESP C,mix,28440495,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,TPU,0
Adidas EURO16TRAINPRO,mix,28440500,28.99,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,TPU,0
Puma Pro Training 2 MS Ball White,white,28443440,17.95,0.1,0.1x0.1x0.1,Puma,0,0,0,1,0,1,0,0,TPU,0
Puma Future Flash Ball,mix,28652085,18.95,0.1,0.1x0.1x0.1,Puma,0,0,0,0,1,1,0,0,TPU,0
Fair S2,mix,31389701,28.86,1,0.2x0.2x0.2,Messi,0,0,0,0,1,1,0,0,TPU,0
Puma One Strap Nrgy,mix,27205165,20.95,0.33,0.2x0.2x0.03,Puma,0,0,0,0,1,1,1,1,PU,1
Nike Football NK Merc Fade,mix,28376745,22.95,0.1,0.1x0.1x0.1,Nike,0,0,0,0,1,1,0,0,Rubber,0
Adidas Finale18CB Cpt,mix,28377490,22.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,1,1,0,0,TPU,0
Adidas UEL CAPITANO,mix,28377740,20.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,TPU,0
Adidas PREDATOR CLIDER,mix,28377755,18.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,Rubber,0
Puma Future Flare Ball,mix,28439915,20.95,0.1,0.1x0.1x0.1,Puma,0,0,0,1,1,1,0,0,TPU,0
Adidas Rm Cpt Away,mix,28440095,22.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,1,1,0,0,TPU,0
Nike NK Street Akka White Black Red,mix,28443655,30.99,0.1,0.1x0.1x0.1,Nike,0,0,0,0,1,0,0,1,Rubber,0
Get & Go 16SY,mix,28469530,5.49,0.3,0.21x0.21x0.1,Get & Go,0,0,0,0,1,1,0,0,PVC,0
Adidas Finale Juve Mini,blue,31482542,15.95,0.1,0.1x0.1x0.1,Adidas,1,0,0,0,0,1,0,0,TPU,0
Puma Icon Miniball Yellow,yellow,31531417,15.95,0.1,0.1x0.1x0.1,Puma,0,0,0,0,1,1,0,0,TPU,0
MOLTEN F4G3350,mix,14341535,36.99,0.5,0.5x0.4x0.3,Molten,0,0,0,1,0,0,0,1,Filcas,0
Adidas CONEXT15GLIDER,mix,28377775,17.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,TPU,0
Adidas EURO16 GLIDER,mix,28377820,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,PVC,0
Adidas EURO16PRAIA X,mix,28377855,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,Rubber,0
Adidas FINMILANO CAP,mix,28377880,19.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,0,1,1,0,0,Rubber,0
Adidas Afc Cpt Home,mix,28440165,22.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,1,1,0,0,TPU,0
Adidas Finale Fcb Cpt,mix,28440225,22.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,1,1,0,0,TPU,0
Puma One Strap Ball,mix,28440235,20.95,0.1,0.1x0.1x0.1,Puma,0,0,0,1,1,1,0,0,TPU,0
Adidas Uefa Mini,mix,28440345,15.95,0.1,0.1x0.1x0.1,Adidas,1,0,0,0,0,1,0,0,TPU,0
Puma Final 6 MS Trainer White Yellow,yellow,28443445,19.95,0.1,0.1x0.1x0.1,Puma,0,0,0,1,0,1,0,0,TPU,0
Get & Go 16SY,mix,28469525,5.49,0.3,0.21x0.21x0.1,Get & Go,0,0,0,0,1,1,0,0,PVC,0
Get & Go 16SY,mix,28469535,5.49,0.3,0.21x0.21x0.1,Get & Go,0,0,0,0,1,1,0,0,PVC,0
